regione,età,value
Provincia Autonoma Bolzano / Bozen,67,5116
Provincia Autonoma Trento,67,6238
Veneto,67,55612
Friuli-Venezia Giulia,67,14809
Emilia-Romagna,67,49703
Toscana,67,43128
Umbria,67,10082
Marche,67,18060
Abruzzo,67,15599
Molise,67,3912
Piemonte,67,52941
Valle d'Aosta / Vallée d'Aoste,67,1493
Liguria,67,18664
Lazio,67,63408
Campania,67,60040
Puglia,67,44689
Basilicata,67,6704
Calabria,67,21745
Sicilia,67,55395
Sardegna,67,21132
Lombardia,67,111032
Piemonte,68,51885
Valle d'Aosta / Vallée d'Aoste,68,1510
Liguria,68,18617
Lombardia,68,109629
Provincia Autonoma Bolzano / Bozen,68,4944
Provincia Autonoma Trento,68,6075
Veneto,68,54670
Friuli-Venezia Giulia,68,14594
Emilia-Romagna,68,48825
Toscana,68,42836
Marche,68,18280
Lazio,68,62378
Abruzzo,68,15596
Molise,68,3605
Campania,68,59873
Puglia,68,46067
Basilicata,68,6568
Calabria,68,22154
Sicilia,68,54596
Sardegna,68,20698
Umbria,68,10556
Piemonte,69,54006
Liguria,69,19779
Lombardia,69,113693
Provincia Autonoma Bolzano / Bozen,69,5025
Provincia Autonoma Trento,69,6329
Friuli-Venezia Giulia,69,15498
Emilia-Romagna,69,51054
Calabria,69,22469
Sicilia,69,56106
Sardegna,69,20704
Valle d'Aosta / Vallée d'Aoste,69,1501
Veneto,69,56747
Toscana,69,44046
Umbria,69,10676
Marche,69,18534
Lazio,69,63750
Abruzzo,69,15994
Molise,69,3878
Campania,69,60593
Puglia,69,47314
Basilicata,69,6788
Provincia Autonoma Trento,70,5946
Veneto,70,55693
Friuli-Venezia Giulia,70,15212
Piemonte,70,54376
Valle d'Aosta / Vallée d'Aoste,70,1582
Liguria,70,19963
Lombardia,70,114336
Provincia Autonoma Bolzano / Bozen,70,4875
Emilia-Romagna,70,51451
Toscana,70,45862
Umbria,70,11005
Marche,70,17853
Lazio,70,63403
Abruzzo,70,16233
Molise,70,4030
Campania,70,60189
Puglia,70,46899
Basilicata,70,6820
Calabria,70,22360
Sicilia,70,56049
Sardegna,70,20003
Emilia-Romagna,71,54078
Veneto,71,57082
Provincia Autonoma Trento,71,6070
Basilicata,71,6979
Provincia Autonoma Bolzano / Bozen,71,5061
Sardegna,71,20252
Lombardia,71,117752
Calabria,71,22483
Sicilia,71,57555
Marche,71,18308
Toscana,71,48626
Umbria,71,11713
Lazio,71,66355
Campania,71,61147
Puglia,71,49398
Abruzzo,71,16349
Molise,71,3905
Friuli-Venezia Giulia,71,16138
Piemonte,71,56949
Valle d'Aosta / Vallée d'Aoste,71,1595
Liguria,71,21024
Liguria,72,21505
Lombardia,72,113502
Provincia Autonoma Bolzano / Bozen,72,4819
Provincia Autonoma Trento,72,5930
Veneto,72,55342
Friuli-Venezia Giulia,72,16064
Emilia-Romagna,72,53467
Toscana,72,48299
Umbria,72,10765
Marche,72,17589
Lazio,72,65262
Piemonte,72,55359
Valle d'Aosta / Vallée d'Aoste,72,1481
Abruzzo,72,15403
Molise,72,3708
Campania,72,58376
Puglia,72,46130
Basilicata,72,6282
Calabria,72,21708
Sicilia,72,56284
Sardegna,72,19302
Piemonte,73,53609
Valle d'Aosta / Vallée d'Aoste,73,1408
Liguria,73,21477
Lombardia,73,115962
Provincia Autonoma Bolzano / Bozen,73,5228
Provincia Autonoma Trento,73,6215
Veneto,73,59502
Friuli-Venezia Giulia,73,16760
Emilia-Romagna,73,53910
Toscana,73,48276
Umbria,73,10288
Marche,73,17545
Lazio,73,62964
Abruzzo,73,14841
Molise,73,3408
Campania,73,58268
Puglia,73,45048
Basilicata,73,5680
Calabria,73,19731
Sicilia,73,51046
Sardegna,73,17913
Piemonte,74,40698
Valle d'Aosta / Vallée d'Aoste,74,1082
Liguria,74,15458
Lombardia,74,84776
Provincia Autonoma Bolzano / Bozen,74,3818
Provincia Autonoma Trento,74,4321
Veneto,74,40425
Friuli-Venezia Giulia,74,11362
Emilia-Romagna,74,37788
Toscana,74,37174
Umbria,74,8207
Marche,74,14410
Lazio,74,48744
Abruzzo,74,11066
Molise,74,2641
Campania,74,46997
Puglia,74,37758
Basilicata,74,4399
Calabria,74,15234
Sicilia,74,42761
Sardegna,74,16626
Piemonte,75,43227
Valle d'Aosta / Vallée d'Aoste,75,1148
Liguria,75,17305
Lombardia,75,89829
Provincia Autonoma Bolzano / Bozen,75,4477
Provincia Autonoma Trento,75,4785
Veneto,75,46259
Friuli-Venezia Giulia,75,13440
Emilia-Romagna,75,41845
Toscana,75,36787
Umbria,75,8656
Marche,75,13831
Lazio,75,48387
Abruzzo,75,11792
Molise,75,2571
Campania,75,39694
Puglia,75,33739
Basilicata,75,4319
Calabria,75,15125
Sicilia,75,40547
Sardegna,75,16120
Piemonte,76,42568
Valle d'Aosta / Vallée d'Aoste,76,1202
Liguria,76,16708
Lombardia,76,87799
Provincia Autonoma Bolzano / Bozen,76,4815
Provincia Autonoma Trento,76,4895
Veneto,76,46642
Friuli-Venezia Giulia,76,13071
Emilia-Romagna,76,41123
Toscana,76,36527
Umbria,76,8979
Marche,76,14424
Lazio,76,50014
Abruzzo,76,11286
Molise,76,2395
Campania,76,42313
Puglia,76,33283
Basilicata,76,4245
Calabria,76,14777
Sicilia,76,38149
Sardegna,76,15409
Piemonte,77,42562
Valle d'Aosta / Vallée d'Aoste,77,1186
Lombardia,77,88391
Veneto,77,44644
Sardegna,77,15587
Liguria,77,16967
Provincia Autonoma Bolzano / Bozen,77,4692
Provincia Autonoma Trento,77,4799
Friuli-Venezia Giulia,77,13001
Emilia-Romagna,77,39912
Toscana,77,34616
Umbria,77,8195
Marche,77,13535
Lazio,77,47928
Abruzzo,77,10827
Molise,77,2297
Campania,77,39699
Puglia,77,33583
Basilicata,77,4181
Calabria,77,14505
Sicilia,77,37239
Piemonte,78,42430
Valle d'Aosta / Vallée d'Aoste,78,1183
Liguria,78,17282
Lombardia,78,88964
Provincia Autonoma Bolzano / Bozen,78,4671
Provincia Autonoma Trento,78,4673
Veneto,78,43629
Friuli-Venezia Giulia,78,12960
Emilia-Romagna,78,40284
Toscana,78,35234
Umbria,78,8199
Marche,78,13414
Lazio,78,47634
Abruzzo,78,10736
Molise,78,2523
Campania,78,37467
Puglia,78,31336
Basilicata,78,4124
Calabria,78,13777
Sicilia,78,36582
Sardegna,78,14214
Piemonte,79,45638
Valle d'Aosta / Vallée d'Aoste,79,1222
Liguria,79,18345
Lombardia,79,94898
Provincia Autonoma Bolzano / Bozen,79,4157
Provincia Autonoma Trento,79,4682
Veneto,79,45225
Friuli-Venezia Giulia,79,13401
Emilia-Romagna,79,43271
Toscana,79,38750
Umbria,79,8997
Marche,79,15032
Lazio,79,51316
Abruzzo,79,12039
Molise,79,2813
Campania,79,40230
Puglia,79,33360
Basilicata,79,4776
Calabria,79,15508
Sicilia,79,40753
Sardegna,79,15431
Toscana,80,36741
Umbria,80,8659
Marche,80,15066
Lazio,80,48404
Abruzzo,80,11902
Molise,80,2933
Campania,80,38307
Puglia,80,32234
Basilicata,80,4871
Calabria,80,14773
Sicilia,80,38195
Sardegna,80,14178
Piemonte,80,44405
Valle d'Aosta / Vallée d'Aoste,80,1114
Liguria,80,17679
Lombardia,80,90760
Provincia Autonoma Bolzano / Bozen,80,4061
Provincia Autonoma Trento,80,4306
Veneto,80,43265
Friuli-Venezia Giulia,80,12443
Emilia-Romagna,80,41788
Piemonte,81,42233
Valle d'Aosta / Vallée d'Aoste,81,1118
Liguria,81,16903
Lombardia,81,85531
Provincia Autonoma Bolzano / Bozen,81,3621
Provincia Autonoma Trento,81,4067
Veneto,81,40421
Friuli-Venezia Giulia,81,11654
Emilia-Romagna,81,40600
Toscana,81,35999
Umbria,81,8619
Marche,81,14764
Lazio,81,45267
Abruzzo,81,10598
Molise,81,2442
Campania,81,34281
Puglia,81,29672
Basilicata,81,4548
Calabria,81,13634
Sicilia,81,35414
Sardegna,81,12485
Piemonte,82,37401
Valle d'Aosta / Vallée d'Aoste,82,975
Liguria,82,15244
Lombardia,82,74385
Provincia Autonoma Bolzano / Bozen,82,3203
Provincia Autonoma Trento,82,3575
Veneto,82,35609
Friuli-Venezia Giulia,82,10352
Emilia-Romagna,82,35471
Toscana,82,31568
Umbria,82,7443
Marche,82,12923
Lazio,82,40468
Abruzzo,82,10210
Molise,82,2406
Puglia,82,27231
Basilicata,82,4415
Calabria,82,12649
Sicilia,82,30774
Sardegna,82,11308
Campania,82,31460
Valle d'Aosta / Vallée d'Aoste,83,851
Lombardia,83,65275
Piemonte,83,33293
Veneto,83,31710
Lazio,83,36413
Liguria,83,13592
Marche,83,11521
Provincia Autonoma Bolzano / Bozen,83,2913
Provincia Autonoma Trento,83,3256
Friuli-Venezia Giulia,83,9160
Emilia-Romagna,83,31284
Toscana,83,27807
Umbria,83,6652
Abruzzo,83,9233
Molise,83,2351
Campania,83,27907
Puglia,83,24259
Basilicata,83,4049
Calabria,83,11992
Sicilia,83,28799
Sardegna,83,10617
Campania,84,26861
Piemonte,84,32107
Valle d'Aosta / Vallée d'Aoste,84,764
Liguria,84,12881
Lombardia,84,63704
Provincia Autonoma Bolzano / Bozen,84,2666
Provincia Autonoma Trento,84,3181
Veneto,84,30724
Friuli-Venezia Giulia,84,8556
Emilia-Romagna,84,31628
Toscana,84,27321
Marche,84,11486
Lazio,84,34924
Abruzzo,84,8885
Molise,84,2230
Puglia,84,23256
Basilicata,84,3774
Calabria,84,11467
Sicilia,84,27341
Sardegna,84,9341
Umbria,84,6480
Piemonte,85,28730
Valle d'Aosta / Vallée d'Aoste,85,682
Liguria,85,11630
Lombardia,85,56653
Provincia Autonoma Bolzano / Bozen,85,2556
Provincia Autonoma Trento,85,2866
Veneto,85,28013
Friuli-Venezia Giulia,85,7495
Emilia-Romagna,85,29281
Toscana,85,24152
Marche,85,10350
Lazio,85,31562
Abruzzo,85,8051
Molise,85,2138
Umbria,85,6038
Campania,85,23599
Puglia,85,21351
Basilicata,85,3646
Calabria,85,10496
Sicilia,85,25747
Sardegna,85,9221
Piemonte,86,25441
Liguria,86,10754
Lombardia,86,50629
Provincia Autonoma Bolzano / Bozen,86,2394
Provincia Autonoma Trento,86,2602
Valle d'Aosta / Vallée d'Aoste,86,675
Veneto,86,23917
Friuli-Venezia Giulia,86,6786
Emilia-Romagna,86,25567
Toscana,86,21910
Umbria,86,5531
Marche,86,9321
Lazio,86,27834
Abruzzo,86,7676
Molise,86,1939
Campania,86,21981
Puglia,86,18929
Basilicata,86,3269
Calabria,86,9918
Sicilia,86,23276
Sardegna,86,8448
Piemonte,87,23181
Valle d'Aosta / Vallée d'Aoste,87,572
Liguria,87,9935
Lombardia,87,45748
Provincia Autonoma Bolzano / Bozen,87,2133
Provincia Autonoma Trento,87,2390
Veneto,87,21956
Friuli-Venezia Giulia,87,6167
Emilia-Romagna,87,22390
Toscana,87,19539
Umbria,87,4716
Marche,87,7928
Lazio,87,24289
Abruzzo,87,6435
Molise,87,1650
Campania,87,19189
Puglia,87,16787
Basilicata,87,2777
Calabria,87,8623
Sicilia,87,19702
Sardegna,87,7299
Piemonte,88,20849
Valle d'Aosta / Vallée d'Aoste,88,532
Liguria,88,8900
Lombardia,88,40549
Provincia Autonoma Trento,88,2153
Veneto,88,19431
Friuli-Venezia Giulia,88,5492
Molise,88,1478
Campania,88,16702
Puglia,88,14899
Basilicata,88,2462
Calabria,88,7531
Sicilia,88,17468
Provincia Autonoma Bolzano / Bozen,88,1883
Emilia-Romagna,88,20690
Toscana,88,18021
Umbria,88,4550
Marche,88,7679
Lazio,88,21993
Abruzzo,88,5931
Sardegna,88,6310
Basilicata,89,2296
Calabria,89,6637
Sicilia,89,16414
Sardegna,89,5965
Valle d'Aosta / Vallée d'Aoste,89,517
Liguria,89,8292
Piemonte,89,19072
Lombardia,89,36243
Provincia Autonoma Bolzano / Bozen,89,1678
Provincia Autonoma Trento,89,2068
Veneto,89,17984
Friuli-Venezia Giulia,89,5202
Emilia-Romagna,89,18967
Toscana,89,16595
Umbria,89,4090
Marche,89,6787
Lazio,89,20224
Abruzzo,89,5567
Molise,89,1471
Campania,89,14986
Puglia,89,13606
Piemonte,90,15213
Valle d'Aosta / Vallée d'Aoste,90,412
Liguria,90,6801
Lombardia,90,29330
Provincia Autonoma Bolzano / Bozen,90,1341
Provincia Autonoma Trento,90,1660
Veneto,90,14176
Friuli-Venezia Giulia,90,4159
Emilia-Romagna,90,15279
Toscana,90,13374
Umbria,90,3236
Marche,90,5386
Lazio,90,15731
Abruzzo,90,4339
Molise,90,1140
Campania,90,11719
Puglia,90,10552
Basilicata,90,1856
Calabria,90,5285
Sicilia,90,12198
Sardegna,90,4833
Piemonte,91,12224
Valle d'Aosta / Vallée d'Aoste,91,342
Liguria,91,5576
Provincia Autonoma Trento,91,1412
Toscana,91,11330
Umbria,91,2734
Marche,91,4663
Lazio,91,12883
Abruzzo,91,3578
Molise,91,911
Campania,91,9629
Puglia,91,8831
Basilicata,91,1470
Calabria,91,4295
Sicilia,91,10251
Sardegna,91,4046
Lombardia,91,24052
Provincia Autonoma Bolzano / Bozen,91,1126
Veneto,91,12283
Friuli-Venezia Giulia,91,3518
Emilia-Romagna,91,13079
Umbria,92,2378
Marche,92,4051
Lazio,92,10436
Campania,92,7496
Abruzzo,92,3089
Molise,92,816
Puglia,92,7351
Basilicata,92,1223
Calabria,92,3431
Sicilia,92,7817
Sardegna,92,3156
Piemonte,92,10073
Valle d'Aosta / Vallée d'Aoste,92,268
Liguria,92,4571
Lombardia,92,19579
Provincia Autonoma Bolzano / Bozen,92,918
Provincia Autonoma Trento,92,1204
Veneto,92,10319
Friuli-Venezia Giulia,92,2977
Emilia-Romagna,92,10885
Toscana,92,9335
Piemonte,93,7696
Valle d'Aosta / Vallée d'Aoste,93,214
Liguria,93,3586
Lombardia,93,15293
Provincia Autonoma Bolzano / Bozen,93,732
Provincia Autonoma Trento,93,935
Veneto,93,7933
Friuli-Venezia Giulia,93,2472
Emilia-Romagna,93,8623
Toscana,93,7381
Umbria,93,1856
Marche,93,3215
Lazio,93,8429
Abruzzo,93,2326
Molise,93,640
Campania,93,5754
Puglia,93,5421
Basilicata,93,937
Calabria,93,2799
Sicilia,93,6439
Sardegna,93,2602
Calabria,94,2126
Sicilia,94,4838
Piemonte,94,5813
Valle d'Aosta / Vallée d'Aoste,94,166
Liguria,94,2808
Lombardia,94,11929
Provincia Autonoma Bolzano / Bozen,94,612
Provincia Autonoma Trento,94,735
Veneto,94,6268
Friuli-Venezia Giulia,94,1975
Emilia-Romagna,94,6974
Toscana,94,5678
Umbria,94,1510
Marche,94,2556
Sardegna,94,1814
Lazio,94,6231
Abruzzo,94,1789
Molise,94,456
Campania,94,4376
Puglia,94,4103
Basilicata,94,694
Piemonte,95,4291
Valle d'Aosta / Vallée d'Aoste,95,102
Liguria,95,2100
Lombardia,95,8983
Provincia Autonoma Bolzano / Bozen,95,449
Provincia Autonoma Trento,95,579
Veneto,95,4628
Friuli-Venezia Giulia,95,1565
Emilia-Romagna,95,5314
Toscana,95,4419
Umbria,95,1150
Marche,95,1782
Lazio,95,4874
Abruzzo,95,1396
Molise,95,393
Campania,95,3194
Puglia,95,2975
Basilicata,95,483
Calabria,95,1670
Sicilia,95,3801
Sardegna,95,1501
Piemonte,96,3253
Valle d'Aosta / Vallée d'Aoste,96,89
Puglia,96,2359
Basilicata,96,411
Calabria,96,1202
Sicilia,96,2514
Sardegna,96,1033
Liguria,96,1564
Lombardia,96,6634
Provincia Autonoma Bolzano / Bozen,96,350
Provincia Autonoma Trento,96,512
Veneto,96,3617
Friuli-Venezia Giulia,96,1187
Emilia-Romagna,96,4012
Toscana,96,3304
Umbria,96,783
Marche,96,1368
Lazio,96,3618
Abruzzo,96,1002
Molise,96,269
Campania,96,2366
Piemonte,97,2411
Valle d'Aosta / Vallée d'Aoste,97,63
Liguria,97,1174
Lombardia,97,4624
Sardegna,97,777
Provincia Autonoma Bolzano / Bozen,97,276
Provincia Autonoma Trento,97,357
Veneto,97,2412
Friuli-Venezia Giulia,97,833
Emilia-Romagna,97,2809
Toscana,97,2292
Umbria,97,542
Marche,97,935
Lazio,97,2566
Abruzzo,97,745
Molise,97,219
Basilicata,97,291
Campania,97,1670
Puglia,97,1625
Calabria,97,814
Sicilia,97,1867
Piemonte,98,1610
Valle d'Aosta / Vallée d'Aoste,98,49
Liguria,98,799
Lombardia,98,3328
Provincia Autonoma Bolzano / Bozen,98,167
Provincia Autonoma Trento,98,236
Veneto,98,1664
Friuli-Venezia Giulia,98,682
Emilia-Romagna,98,2008
Toscana,98,1681
Umbria,98,423
Marche,98,691
Lazio,98,1812
Abruzzo,98,526
Molise,98,162
Campania,98,1149
Puglia,98,1078
Basilicata,98,226
Calabria,98,567
Sicilia,98,1199
Sardegna,98,503
Sicilia,99,829
Sardegna,99,388
Piemonte,99,1008
Valle d'Aosta / Vallée d'Aoste,99,29
Liguria,99,547
Lombardia,99,2093
Provincia Autonoma Bolzano / Bozen,99,103
Provincia Autonoma Trento,99,165
Veneto,99,1068
Friuli-Venezia Giulia,99,426
Emilia-Romagna,99,1289
Umbria,99,249
Marche,99,446
Lazio,99,1230
Abruzzo,99,332
Toscana,99,1098
Molise,99,97
Campania,99,783
Puglia,99,725
Basilicata,99,107
Calabria,99,409
Provincia Autonoma Bolzano / Bozen,100,91
Provincia Autonoma Trento,100,127
Veneto,100,1142
Emilia-Romagna,100,1415
Piemonte,100,1096
Valle d'Aosta / Vallée d'Aoste,100,30
Liguria,100,633
Lombardia,100,2318
Friuli-Venezia Giulia,100,392
Toscana,100,1044
Umbria,100,278
Marche,100,447
Lazio,100,1417
Abruzzo,100,393
Molise,100,116
Campania,100,908
Puglia,100,882
Basilicata,100,125
Calabria,100,460
Sicilia,100,1032
Sardegna,100,458
